Campus,Matricula,Estado,AdeudoEnero,AdeudoFebrero,AdeudoMarzo
UTEL,10308420,Activo,5430,1846,1
UTEL,10308984,Activo,5430,381,1
UTEL,10097897,Activo,0,171,3124
UTEL,10057416,Activo,3774,0,3124
UTEL,10081618,Activo,7977,21117,3124
UTEL,10086883,Activo,4029,0,1
UTEL,10203631,Activo,3130,0,1
UTEL,10204781,Activo,8758,3549,6397
UTEL,10284807,Activo,3330,0,-6511.4
UTEL,10298517,Activo,3725,0,3124
UTEL,10299127,Activo,3330,14877,3465
UTEL,10299871,Activo,3330,653,18704
UTEL,10300183,Activo,3330,9696,5358
UTEL,10300523,Activo,3330,-4945,2888
UTEL,10301836,Activo,3330,0,6248
UTEL,10302355,Activo,-1600,0,2888
UTEL,10303076,Activo,4100,0,0
UTEL,10303432,Activo,3550,0,2657
UTEL,10304004,Activo,3330,0,1
UTEL,10305051,Activo,3330,0,1
UTEL,10305124,Activo,-13323.5,0,3124
UTEL,10305205,Activo,4093,0,3124
UTEL,10305713,Activo,3329,0,1
UTEL,10305956,Activo,-23056,-5006,1
UTEL,10307328,Activo,3330,231,3124
UTEL,10307543,Activo,3983,0,12956
UTEL,10308773,Activo,800,0,3124
UTEL,10309381,Activo,2872.3,0,3124
UTEL,10576055,Activo,3699,0,2888
UTEL,20300743,Activo,7902,0,3124
UTEL,20305818,Activo,2530,0,3332
UTEL,20306715,Activo,7377,0,3124
UTEL,20306975,Activo,2530,0,3124
UTEL,20308597,Activo,8298,0,3124
UTEL,20310426,Activo,0,0,1796
UTEL,20578038,Activo,7376,0,3124
UTEL,10031483,Activo,10350,0,1796
UTEL,10049951,Activo,12924,-5000,1824
UTEL,10093261,Activo,13214,0,3465
UTEL,10096420,Activo,3540,-1,3343
UTEL,10243567,Activo,26888,0,3124
UTEL,10258619,Activo,8367,0,6701
UTEL,10266415,Activo,8367,0,1
UTEL,10268275,Activo,6600,0,-7499
UTEL,10274330,Activo,2660,0,1
UTEL,10276700,Activo,2750,3391,0
UTEL,10277543,Activo,3099,-13830.9,1
UTEL,10278834,Activo,3099,0,1
UTEL,10279299,Activo,3775,0,1
UTEL,10279828,Activo,13116,-12012,1
UTEL,10279866,Activo,6698,14999,3283
UTEL,10280184,Activo,-27948,0,1
UTEL,10281019,Activo,3099,0,3124
UTEL,10281432,Activo,3099,-8156,3124
UTEL,10281554,Activo,3642,22348,3332
UTEL,10281704,Activo,5363,0,5776
UTEL,10281757,Activo,2530,-17175,2888
UTEL,10282962,Activo,2975,600,6907
UTEL,10283010,Activo,2725,-15248,14493
UTEL,10283179,Activo,2975,0,14490
UTEL,10283397,Activo,3099,0,19443
UTEL,10283663,Activo,5950,0,15186
UTEL,10283820,Activo,2975,0,14490
UTEL,10284050,Activo,2975,26558,14490
UTEL,10284898,Activo,5060,0,10060
UTEL,10285099,Activo,2530,4767,-1852
UTEL,10285175,Activo,5060,0,14690
UTEL,10285320,Activo,-1518,0,14937
UTEL,10285776,Activo,3099,-10443.4,14690
UTEL,10286515,Activo,2975,11001,14690
UTEL,10286675,Activo,2975,0,14952
UTEL,10286742,Activo,0,-58943,-39206
UTEL,10286773,Activo,2975,0,14690
UTEL,10286817,Activo,3300,0,19644
UTEL,10286902,Activo,2530,-20152,14690
UTEL,10286910,Activo,3300,0,14600
UTEL,10287413,Activo,7007,-19652.8,13400
UTEL,10287511,Activo,16067,-53063,14690
UTEL,10287550,Activo,2750,0,14690
UTEL,10287684,Activo,6415,0,272198
UTEL,10288824,Activo,3300,-14511,2333130
UTEL,10289132,Activo,2783,-16326,1133495
UTEL,10289189,Activo,2750,0,3747415
UTEL,10290852,Activo,13414,0,-2745
UTEL,10292132,Activo,5950,0,4752
UTEL,10292338,Activo,-3795,0,507785
UTEL,10293274,Activo,2975,0,70987
UTEL,20150572,Activo,0,0,507785
UTEL,20186849,Activo,12614,0,65
UTEL,20275462,Activo,2530,88,-294.9
UTEL,20280023,Activo,5775,-7068,14937
UTEL,20281185,Activo,2530,0,18792
UTEL,20282634,Activo,13526,6186,7992
UTEL,20283342,Activo,0,0,14493
UTEL,20284052,Activo,7767,0,12393
UTEL,20287115,Activo,14456,0,10968
UTEL,20288499,Activo,0,0,41796
UTEL,20289757,Activo,10131,0,14490
UTEL,20291986,Activo,2975,618,1841
UTEL,20292305,Activo,0,0,1922.8
UTEL,20293627,Activo,5950,0,16580
UTEL,20293803,Activo,-10,0,15378
UTEL,20578507,Activo,2530,15216,15153
UTEL,10256263,Activo,3548,0,14493
UTEL,10267666,Activo,3699,0,16473
UTEL,10270463,Activo,3874,0,10213.4
UTEL,10271707,Activo,3330,0,16476
UTEL,10278300,Activo,3899,0,16476
UTEL,10278335,Activo,3899,-40854,-36451
UTEL,10278418,Activo,3899,-18428.4,16476
UTEL,10278438,Activo,12767,0,16476
UTEL,10278577,Activo,3899,368,-500.8
UTEL,10278584,Activo,3899,0,14493
UTEL,10278769,Activo,3775,0,-424.8
UTEL,10278855,Activo,3330,0,-35528.6
UTEL,10279034,Activo,3899,-1,14493
UTEL,10279042,Activo,3899,-2741609,16476
UTEL,10279405,Activo,2510,7899208,7257
UTEL,10279562,Activo,3899,-4744,5442
UTEL,10279586,Activo,8391,41.74,16476
UTEL,10279622,Activo,7631,0,16476
UTEL,10279929,Activo,3899,-250,16476
UTEL,10279947,Activo,-668,208,1852
UTEL,10280007,Activo,3550,341,1619
UTEL,10210329,Activo,4286,0,16476
UTEL,10015187,Activo,3300,0,16476
UTEL,10035544,Activo,-96.01,5722,595
UTEL,10085893,Activo,21176,0,14700
UTEL,10089542,Activo,3421,0,16476
UTEL,10093684,Activo,198,0,22474
UTEL,10188914,Activo,3572,2510,21075
UTEL,10191324,Activo,2660.8,0,16476
UTEL,10198811,Activo,3425,0,17169
UTEL,10210909,Activo,5511,-175,17169
UTEL,10219859,Activo,46712,0,17169
UTEL,10227862,Activo,-4200,3983,19448
UTEL,10242153,Activo,0,0,23079
UTEL,10244608,Activo,3575,0,17169
UTEL,10248465,Activo,-675,-16640,17169
UTEL,20039270,Activo,2977,0,45006
UTEL,20084752,Activo,2977,-7259,16476
UTEL,20097508,Activo,2935,0,1852
UTEL,20098046,Activo,5250.27,0,16969
UTEL,20191951,Activo,2977,0,17169
UTEL,20194904,Activo,12922,3661,-35670.25
UTEL,20199111,Activo,24797,4204,-325.2
UTEL,20201223,Activo,38664,3916,23079
UTEL,20201642,Activo,2977,0,17169
UTEL,20204500,Activo,28807,0,15186
UTEL,20209536,Activo,2903,3699,12759
UTEL,20210883,Activo,8012,3633,21616
UTEL,20227117,Activo,3308,3619,2284674
UTEL,20228793,Activo,3302.75,0,304623
UTEL,10196041,Activo,34908,0,10996211
UTEL,20196050,Activo,0,0,-1704
UTEL,20196054,Activo,36331,0,1833223
UTEL,20216795,Activo,6560,0,3635
UTEL,10332557,Activo,-1700,0,-16227
UTEL,10331964,Activo,-1760,0,2975
UTEL,10331209,Activo,-6336,0,6765
UTEL,10331598,Activo,-1760,0,2530
UTEL,10321409,Activo,-1650,0,2000
UTEL,10006221,Activo,1499,4500,282
UTEL,10013453,Activo,-2496.11,0,2530
UTEL,10040040,Activo,1765.93,0,2750
UTEL,10044481,Activo,3150.5,0,2700
UTEL,10081842,Activo,1499,3916,3183
UTEL,10088378,Activo,2000,6966,2716
UTEL,10195355,Activo,4199,7821,2530
UTEL,10213896,Activo,1600,0,3053
UTEL,10273825,Activo,2000,0,2530
UTEL,10275540,Activo,1500,0,2750
UTEL,10309460,Activo,2000,0,2530
UTEL,10316580,Activo,2175,0,6158
UTEL,10316804,Activo,2000,0,12553
UTEL,10317136,Activo,2509,14949,2975
UTEL,10317834,Activo,2175,0,2530
UTEL,10318146,Activo,2000,-4958.4,2530
UTEL,10318380,Activo,1500,1950,-9885
UTEL,10319171,Activo,2000,-1,2975
UTEL,10319216,Activo,2000,0,2975
UTEL,10319875,Activo,2000,0,2705
UTEL,10321725,Activo,2100,0,6916
UTEL,10321857,Activo,1760,-1662,2975
UTEL,10323004,Activo,2100,0,3300
UTEL,10323194,Activo,2100,0,1710
UTEL,10323433,Activo,2000,0,-10040
UTEL,10323558,Activo,2100,0,2707
UTEL,10324324,Activo,2100,0,2975
UTEL,10324824,Activo,2509,9429,2975
UTEL,10324927,Activo,2100,0,-9676
UTEL,10326035,Activo,2100,0,4220
UTEL,10326908,Activo,2100,0,20697
UTEL,10327899,Activo,2100,0,0
UTEL,10567731,Activo,1499,165,2975
UTEL,10574679,Activo,2100,345,2975
UTEL,20302233,Activo,1000,0,3449
UTEL,20311215,Activo,1500,0,15122
UTEL,20315364,Activo,1500,0,1710
UTEL,20316221,Activo,2000,0,3274
UTEL,20316693,Activo,1500,0,2975
UTEL,20318440,Activo,2000,0,3099
UTEL,20319559,Activo,2175,0,-18572.8
UTEL,20323371,Activo,2100,10392,3444
UTEL,20323854,Activo,2275,0,2833
UTEL,20324004,Activo,2100,0,3099
UTEL,20324821,Activo,2509,0,2750
UTEL,20327168,Activo,2100,0,3099
UTEL,10276246,Activo,2530,0,3099
UTEL,10088512,Activo,3575,-9916.8,1750
UTEL,10239866,Activo,5860,0,3099
UTEL,10256618,Activo,3350,0,3932
UTEL,10261676,Activo,3775,1685,3099
UTEL,10275459,Activo,3330,0,0
UTEL,10277784,Activo,3330,0,1710
UTEL,10290990,Activo,3330,0,3099
UTEL,10293873,Activo,8177,0,2975
UTEL,10296379,Activo,4219,0,3300
UTEL,10297307,Activo,3325,-175,-3718.8
UTEL,10297873,Activo,4220,0,3099
UTEL,10298315,Activo,9345,0,2530
UTEL,10298337,Activo,2510,0,2975
UTEL,10298717,Activo,4100,0,1710
UTEL,10298998,Activo,4074,0,3099
UTEL,10299440,Activo,3775,0,3274
UTEL,10300112,Activo,2510,0,2530
UTEL,10300876,Activo,8391,177,2530
UTEL,10305565,Activo,4100,0,3099
UTEL,10235703,Activo,2975,0,3274
UTEL,10263493,Activo,-7751,0,4035
UTEL,10269729,Activo,6293,0,2750
UTEL,10270429,Activo,3874,0,6379
UTEL,10270956,Activo,3874,0,3099
UTEL,10271025,Activo,3874,0,3099
UTEL,10272214,Activo,3330,32,3274
UTEL,10272517,Activo,4523,0,1710
UTEL,10272518,Activo,3899,20743,5414
UTEL,10272878,Activo,3330,0,0
UTEL,10273398,Activo,4074,-0.29,2975
UTEL,10273485,Activo,19818,833,3099
UTEL,10275941,Activo,4689,0,3099
UTEL,10278988,Activo,2510,0,3099
UTEL,10279372,Activo,3775,0,3099
UTEL,10563195,Activo,3575,0,3099
UTEL,20269850,Activo,3099,0,3199
UTEL,10002573,Activo,4015,2949,3099
UTEL,10006123,Activo,5129,0,27158
UTEL,10007817,Activo,2888,0,2530
UTEL,10015526,Activo,3575,0,2529.71
UTEL,10022727,Activo,16458.9,4342,2975
UTEL,10030557,Activo,-3269,2016,2975
UTEL,10037772,Activo,9407,2400,-5696.14
UTEL,10045587,Activo,8581,0,-5755.5
UTEL,10045590,Activo,3356,0,3966.6
UTEL,10045834,Activo,3136,631,4260
UTEL,10046485,Activo,3061,-4759.4,16698
UTEL,10051027,Activo,6970,0,3635
UTEL,10082283,Activo,8204,-1506,3932
UTEL,10087310,Activo,2681.5,0,3350
UTEL,10091799,Activo,9426,-4591.38,3575
UTEL,10096278,Activo,4129,0,3575
UTEL,10098476,Activo,2312,0,3575
UTEL,10155910,Activo,3225,0,-5510
UTEL,10186109,Activo,2312,2485,3130
UTEL,10186723,Activo,6880,0,3575
UTEL,10188318,Activo,-4945,0,8231
UTEL,10191586,Activo,3577,0,3950
UTEL,10193314,Activo,5672,-384,3575
UTEL,10193912,Activo,6156.75,0,3900
UTEL,10194227,Activo,3307,0,3723
UTEL,10194427,Activo,-4119.4,0,3900
UTEL,10194617,Activo,3600,23230,2515
UTEL,10195159,Activo,6554,18788,3699
UTEL,10195783,Activo,6554,25570,-4989
UTEL,10196972,Activo,3575,0,3465
UTEL,10200326,Activo,2977,1500,-3825
UTEL,10205257,Activo,3735,0,5392
UTEL,10214392,Activo,4870,0,63262
UTEL,10215461,Activo,3356,1499,0
UTEL,10219973,Activo,3577,0,0
UTEL,10220012,Activo,3577,1500,0
UTEL,10220128,Activo,3585,0,3231
UTEL,10220763,Activo,3577,332062,0
UTEL,10220818,Activo,3577,332062,0
UTEL,10220965,Activo,3577,-1047050,0
UTEL,10223077,Activo,3577,0,0
UTEL,10223202,Activo,3734,-270.06,2756
UTEL,10223265,Activo,3487,332062,6610
UTEL,10223667,Activo,600,-332062,3136
UTEL,10223677,Activo,3908,332062,3577
UTEL,10223786,Activo,5976,0,3908
UTEL,10224176,Activo,3435,-7326740,3577
UTEL,10224376,Activo,3577,0,3724
UTEL,10224520,Activo,7331,-1047050,2835
UTEL,10224951,Activo,3908,0,4035
UTEL,10225270,Activo,872,-1047050,2396
UTEL,10225361,Activo,3577,0,2396
UTEL,10225405,Activo,3577,0,2396
UTEL,10225643,Activo,3302,0,4570
UTEL,10225686,Activo,3009,0,2396
UTEL,10225725,Activo,3577,0,2392
UTEL,10225898,Activo,3577,332062,3132
UTEL,10225919,Activo,3356,-667938,2491
UTEL,10226226,Activo,330.6,0,2396
UTEL,10226276,Activo,1796,0,2387
UTEL,10226362,Activo,170.8,-1047050,-5360.5
UTEL,10226396,Activo,3908,0,600
UTEL,10226489,Activo,3136,0,3350
UTEL,10226526,Activo,4003,0,3150
UTEL,10226704,Activo,3136,0,1500
UTEL,10226711,Activo,22915,-185000,1500
UTEL,10226826,Activo,3908,0,1500
UTEL,10226830,Activo,3908,0,39900
UTEL,10226855,Activo,2312,332062,332062
UTEL,10226950,Activo,3908,-523525,332062
UTEL,10226987,Activo,2576,-523525,332062
UTEL,10226989,Activo,3908,332062,332062
UTEL,10227065,Activo,3908,0,365269
UTEL,10227080,Activo,4562,0,438450
UTEL,10227367,Activo,3908,332062,365269
UTEL,10227403,Activo,5976,0,0
UTEL,10229007,Activo,2269,0,407664
UTEL,10229818,Activo,3291,-332062,365269
UTEL,10229865,Activo,2977,0,365269
UTEL,10230470,Activo,3577,0,407664
UTEL,10233803,Activo,2017,332062,407664
UTEL,10235869,Activo,3124,0,407664
UTEL,10236145,Activo,3465,0,365269
UTEL,10236410,Activo,2888,0,-996188
UTEL,10236577,Activo,3124,0,555906
UTEL,10236665,Activo,3081,-365269,365269
UTEL,10237932,Activo,3124,-365269,365269
UTEL,10238551,Activo,3124,-94500,365269
UTEL,10238657,Activo,3123,0,365269
UTEL,10239229,Activo,-600.5,0,555906
UTEL,10240218,Activo,1796,0,365269
UTEL,10240312,Activo,3350,-3124,365269
UTEL,10240650,Activo,7530,0,329
UTEL,10241691,Activo,3892,-159,259
UTEL,10242954,Activo,3350,-159,259
UTEL,10242965,Activo,3257,-180,400
UTEL,10243117,Activo,-2292,-214,400
UTEL,10243384,Activo,3900,-159,458
UTEL,10243516,Activo,154.8,0,94500
UTEL,10244196,Activo,3900,-23575,60
UTEL,10244205,Activo,6758,0,200
UTEL,10244923,Activo,3575,0,170
UTEL,10245460,Activo,3900,0,170
UTEL,10245831,Activo,3575,2740,200
UTEL,10246050,Activo,1070,0,170
UTEL,10246402,Activo,3575,0,200
UTEL,10248734,Activo,1242,0,212
UTEL,10250599,Activo,3427,0,252
UTEL,10251204,Activo,-11223.2,133,200
UTEL,10251574,Activo,3437,0,200
UTEL,10563944,Activo,3724,6354,21
UTEL,20042476,Activo,14925,0,212
UTEL,20241014,Activo,3506,0,212
UTEL,20250255,Activo,8636,9306,212
UTEL,10326281,Activo,0,0,252
UTEL,10322462,Activo,-1650,0,212
UTEL,10299772,Activo,2100,0,252
UTEL,10301527,Activo,1999,0,212
UTEL,10309467,Activo,2000,0,-1751
UTEL,10311524,Activo,1500,0,212
UTEL,10312816,Activo,2175,165,252
UTEL,10313137,Activo,2000,1710,252
UTEL,10313242,Activo,2175,14282,212
UTEL,10313581,Activo,1500,-600,0
UTEL,10314040,Activo,2175,0,212
UTEL,10314608,Activo,1500,18261,0
UTEL,10315100,Activo,0,15915,2000
UTEL,10315352,Activo,2175,10454,3777
UTEL,10315956,Activo,2175,6508,3465
UTEL,10316595,Activo,1500,0,3124
UTEL,10317363,Activo,0,0,2975
UTEL,10319238,Activo,2175,0,1475
UTEL,10319249,Activo,2000,0,2975
UTEL,10319302,Activo,-50039,0,5150
UTEL,10319563,Activo,1500,0,2975
UTEL,10319620,Activo,2100,0,2530
UTEL,10320197,Activo,2175,0,11826
UTEL,10320319,Activo,1500,0,11274
UTEL,10320588,Activo,0,0,2975
UTEL,10320711,Activo,2100,0,0
UTEL,10321151,Activo,2175,-2,9710
UTEL,10321182,Activo,0,0,2750
UTEL,10321254,Activo,2100,0,-12861
UTEL,10321649,Activo,2000,0,1710
UTEL,10321826,Activo,1760,0,2750
UTEL,10321977,Activo,2100,-11356.14,6158
UTEL,10322729,Activo,2100,-11765.5,2530
UTEL,10322742,Activo,2100,216.6,2975
UTEL,10322872,Activo,2100,120,975
UTEL,10322888,Activo,2100,9940,3300
UTEL,10323480,Activo,2100,0,-15880
UTEL,10323607,Activo,2100,-1,2975
UTEL,10323620,Activo,2100,0,2530
UTEL,10323630,Activo,2100,0,3300
UTEL,10323761,Activo,2100,0,3274
UTEL,10324014,Activo,2100,0,2530
UTEL,10324179,Activo,2100,-12410,1710
UTEL,10324375,Activo,2275,0,2975
UTEL,10324541,Activo,2100,0,2530
UTEL,10325916,Activo,2100,3531,3274
UTEL,10326940,Activo,2100,0,3150
UTEL,20300135,Activo,350,0,2984
UTEL,20318631,Activo,2000,0,3150
UTEL,20322710,Activo,2100,148,2750
UTEL,20323243,Activo,1760,0,-4006.4
UTEL,20323307,Activo,2100,0,2530
UTEL,20323439,Activo,2100,0,3274
UTEL,10329739,Activo,-1700,-11787,10356
UTEL,10331019,Activo,-1760,2098.18,3274
UTEL,10330984,Activo,-1760,0,-1898.8
UTEL,10329999,Activo,-1760,-149,3324
UTEL,20327668,Activo,-1650,0,2530
UTEL,10328438,Activo,-1650,0,2530
UTEL,10328065,Activo,-3300,-2975,2556
UTEL,10013587,Activo,450,0,1710
UTEL,10284435,Activo,2000,-9775,3099
UTEL,10309587,Activo,1500,134,2530
UTEL,10312729,Activo,1500,63262,1710
UTEL,10313050,Activo,2000,3231,3099
UTEL,10314186,Activo,1675,0,10748
UTEL,10314302,Activo,1500,3633,2530
UTEL,10314304,Activo,1500,0,2975
UTEL,10314388,Activo,1675,0,2884
UTEL,10314440,Activo,2175,0,-13253
UTEL,10314902,Activo,2175,0,3274
UTEL,10315661,Activo,1001,0,2530
UTEL,10315870,Activo,2175,0,-15352
UTEL,10316767,Activo,0,5,22073
UTEL,10316986,Activo,1500,0,16147
UTEL,10317982,Activo,1500,0,10876
UTEL,10319360,Activo,2000,0,2530
UTEL,10319406,Activo,2175,4219,3150
UTEL,10319415,Activo,2175,0,3150
UTEL,10319428,Activo,2175,12,3133
UTEL,10319478,Activo,1675,9,1975
UTEL,10319717,Activo,1500,0,2975
UTEL,10319884,Activo,2000,0,3274
UTEL,10319900,Activo,2000,-5,2750
UTEL,10319955,Activo,2000,-5509.5,2975
UTEL,10320098,Activo,2175,0,3300
UTEL,10320178,Activo,2175,0,3097
UTEL,10320313,Activo,2000,17660,3575
UTEL,10320740,Activo,2100,0,-10949
UTEL,10320756,Activo,2100,0,2826
UTEL,10321078,Activo,2100,208,3045
UTEL,10321320,Activo,2100,0,2975
UTEL,10322820,Activo,2100,0,2975
UTEL,10323785,Activo,1760,-3150,2975
UTEL,10325328,Activo,2100,3185,3950
UTEL,10325642,Activo,2100,0,2888
UTEL,10326431,Activo,100,-0.8,9711
UTEL,10580209,Activo,-68,10445,3015
UTEL,20317940,Activo,2175,1070,2756
UTEL,20318263,Activo,2000,0,0
UTEL,20319942,Activo,2000,0,2977
UTEL,20320106,Activo,2000,0,3124
UTEL,20320598,Activo,2100,-1556,4021
UTEL,20321053,Activo,2100,0,2888
UTEL,20572051,Activo,1825,0,3124
UTEL,10079453,Activo,3575,0,3124
UTEL,10288727,Activo,8744,4511,3124
UTEL,10298989,Activo,800,6893.48,-6837
UTEL,10301245,Activo,4275,208,-6144
UTEL,10302078,Activo,3897,0,345
UTEL,10302413,Activo,3775,0,3124
UTEL,10303055,Activo,3900,-7,3103
UTEL,10303846,Activo,3330,0,2613
UTEL,10304265,Activo,3775,-1,-600
UTEL,10304569,Activo,4100,0,3124
UTEL,10304716,Activo,4100,12459,3124
UTEL,10305095,Activo,3330,0,3124
UTEL,10305676,Activo,3330,0,16599
UTEL,10307497,Activo,3330,3124,2124
UTEL,20284772,Activo,2530,0,3099
UTEL,20293342,Activo,2975,0,23724
UTEL,20295864,Activo,2975,0,3300
UTEL,20296690,Activo,7377,0,3300
UTEL,20300085,Activo,7377,208,2835
UTEL,20300868,Activo,2530,0,3150
UTEL,20303580,Activo,2975,-2217.5,0
UTEL,20303683,Activo,8298,0,5852
UTEL,20303794,Activo,2974,-317,15215
UTEL,20307637,Activo,2705,0,1975
UTEL,20564051,Activo,8545,16617,314.2
UTEL,20585491,Activo,2530,0,3220
UTEL,10004937,Activo,600,0,1710
UTEL,10009670,Activo,4131,0,2975
UTEL,10218787,Activo,-1454,3183,2975
UTEL,10222880,Activo,6958,2975,174
UTEL,10231142,Activo,3130,0,2975
UTEL,10240953,Activo,3575,0,2975
UTEL,10251865,Activo,3574,0,8704
UTEL,10262573,Activo,3874,0,13051.48
UTEL,10263822,Activo,3350,6392,3183
UTEL,10264371,Activo,3874,6037,975
UTEL,10265367,Activo,3750,0,2968
UTEL,10265440,Activo,3874,9840,2974
UTEL,10267523,Activo,3575,0,3300
UTEL,10267623,Activo,7014,6170,14537
UTEL,10268768,Activo,3699,-18811,2975
UTEL,10268770,Activo,7015,0,2975
UTEL,10269254,Activo,3699,10,5950
UTEL,10270646,Activo,3124,0,2975
UTEL,10271629,Activo,800,0,2975
UTEL,10271689,Activo,3743,0,2975
UTEL,10271868,Activo,3899,0,2975
UTEL,10272052,Activo,7308,0,3183
UTEL,10272350,Activo,2510,0,3300
UTEL,10273119,Activo,3899,7166,4749
UTEL,10273418,Activo,3719,208,2975
UTEL,10274492,Activo,4074,0,2975
UTEL,10274756,Activo,3908,0,9850.75
UTEL,10574230,Activo,3699,107,2530
UTEL,20198195,Activo,3435,-975,2530
UTEL,10248804,Activo,-4165.5,0,2750
UTEL,10249103,Activo,2975,2172,9341
UTEL,10249280,Activo,2975,0,3534
UTEL,10250342,Activo,1190,0,3099
UTEL,10251796,Activo,1731,0,3330
UTEL,10252069,Activo,3538,0,6192
UTEL,10252447,Activo,2974,0,8176
UTEL,10252626,Activo,2750,0,9098
UTEL,10252969,Activo,-8797,4529,-36143
UTEL,10253449,Activo,6158,0,3400
UTEL,10256178,Activo,3775,7841,7642
UTEL,10563364,Activo,2997,0,4074
UTEL,10004183,Activo,6216.84,0,3899
UTEL,10005614,Activo,1036,0,6037
UTEL,10038678,Activo,6934,0,3725
UTEL,10045225,Activo,1893,702,4074
UTEL,10046094,Activo,-1124,0,4074
UTEL,10085418,Activo,2336,0,4100
UTEL,10096454,Activo,10995,-10204.4,4100
UTEL,10187701,Activo,13433,0,4074
UTEL,10195284,Activo,2977,0,4074
UTEL,10204736,Activo,3435,17554,4100
UTEL,10205392,Activo,2756,0,4074
UTEL,10208715,Activo,-9975,-1898.8,3950
UTEL,10209286,Activo,0,164,3330
UTEL,10216129,Activo,19024,0,4074
UTEL,10218647,Activo,18508,-2530,7565
UTEL,10222040,Activo,2977,1344,3330
UTEL,10222401,Activo,3930,0,7390
UTEL,10222590,Activo,3577,0,4100
UTEL,10223802,Activo,1790,0,3330
UTEL,10224312,Activo,2311,2630,3330
UTEL,10225231,Activo,3575,0,-42691
UTEL,10227382,Activo,3079,4333,6037
UTEL,10234938,Activo,3124,0,9880
UTEL,20024592,Activo,9532,0,4074
UTEL,20025935,Activo,0,177,4074
UTEL,20038737,Activo,4477,-19451,4074
UTEL,20043172,Activo,8714,0,3405
UTEL,20046825,Activo,2977,0,3550
UTEL,20047753,Activo,2977,-19752,6037
UTEL,20075889,Activo,2536,-2000,3330
UTEL,20097723,Activo,21737,0,3330
UTEL,20198801,Activo,2977,0,4074
UTEL,20204185,Activo,-4.4,13783,4074
UTEL,20205434,Activo,2756,0,4248
UTEL,20208293,Activo,5704.4,0,3330
UTEL,20209108,Activo,2756,3068,4100
UTEL,20212147,Activo,10603,0,-562
UTEL,20215641,Activo,2756,0,4199
UTEL,20216431,Activo,20295,0,3635
UTEL,20219686,Activo,2977,0,4374
UTEL,20219758,Activo,1004,0,3635
UTEL,20221875,Activo,1977,0,3635
UTEL,20222067,Activo,5954,0,6192
